ID,Cell_type,Brain_region,Trough_Peak_latency,ACG_tau_decay,ACG_tau_rise,Peak_asymmetry,Burst_index
1,Pyramidal Cell,ORB,0.533333333333333,28.2881992488203,0.944544799040961,1.03871963630378,54.6393442622951
2,Wide Interneuron,MOs,0.783333333333333,5.2673254870415,4.70738793825534,-0.225424308216467,0.414784394250513
3,Wide Interneuron,ORB,0.616666666666667,9.39618523032663,9.39615266290187,1.03627706276307,1.65751950497713
4,Pyramidal Cell,MOs,0.708333333333333,2.72345900130861,2.54966354736386,0.967421339033373,4.59090909090909
5,Wide Interneuron,ORB,0.566666666666667,70.1567843081403,23.6541403158723,0.285622972177037,1.34368070953437
6,Wide Interneuron,ORB,0.866666666666667,75.5488686703752,3.37272682751698,1.03694405993986,0.217126477964887
7,Wide Interneuron,MOs,0.525,19.8485631824999,19.835190963924,0.984485429011891,1.06810490693739
8,Wide Interneuron,MOs,0.65,153.025939160409,1.84948013103233,-0.261335879711443,1.59305993690852
9,Pyramidal Cell,MOs,0.516666666666667,6.0476173487049,2.33251763232335,-0.00312892354151444,0
10,Pyramidal Cell,MOs,0.683333333333333,3.48691600107779,0.107929005187322,0.704845478956558,95.6842105263158
11,Narrow Interneuron,ORB,0.258333333333333,410.395368100455,0.306685641846161,1.00678040000304,17.5369774919614
12,Wide Interneuron,MOs,0.683333333333333,7.53281380752133,7.93340841131852,-0.165979827363106,0.0722460658082975
13,Wide Interneuron,MOs,0.816666666666667,9.14585907995327,9.14464124420798,1.00746463967973,0
14,Wide Interneuron,ORB,0.725,4.7630257753239,4.76268217022737,-0.0813335071405537,2.54660063034669
15,Pyramidal Cell,MOs,0.525,3.67333801363172,0.164606340977832,1.0608765520945,103.72972972973
16,Wide Interneuron,MOs,0.541666666666667,3.7672412185008,3.42904795136929,1.00127688129152,3.0421686746988
17,Wide Interneuron,MOs,0.65,4.82523404701068,4.82299504139677,0.989030818610292,1.98818897637795
18,Wide Interneuron,MOs,0.633333333333333,499.436031871843,3.32878936882889,-0.298712289947204,0.914027149321267
19,Wide Interneuron,MOs,0.791666666666667,1.16939413716031,3.92041073189751,0.0538867556605041,1.10262008733624
20,Wide Interneuron,MOs,0.808333333333333,19.6704550911736,5.25861661847298,0.295043100908278,0
21,Wide Interneuron,MOs,0.791666666666667,5.61400341161792,6.60287961698785,0.947696915285374,0.556090846524432
22,Narrow Interneuron,ORB,0.358333333333333,72.624153233796,1.90088172775197,1.01200571903196,8.54323308270677
23,Pyramidal Cell,ORB,0.575,17.9819161360622,0.495631279751452,0.84013791361054,46.2916666666667
24,Wide Interneuron,ORB,0.566666666666667,7.51217241933513,4.64893707200286,0.84423093329826,5.77142857142857
25,Wide Interneuron,MOs,0.675,3.30099579422701,3.34543236270601,0.979395954654933,1.58638743455497
26,Pyramidal Cell,ORB,0.583333333333333,1.70937182645679,1.52101924559398,0.597093116082936,2.98015021459227
27,Pyramidal Cell,ORB,0.525,5.47426795408258,0.896549048719421,1.03926391473259,24.353471118177
28,Wide Interneuron,ORB,0.616666666666667,15.9885556181264,18.5501419379707,0.207711971391787,10.9949367088608
29,Wide Interneuron,ORB,0.783333333333333,2.00937701288247,4.62888466124515,1.06260858435597,0.148638704930096
30,Pyramidal Cell,MOs,0.641666666666667,3.35173254916936,2.10591611988322,1.01951775884542,1.5
31,Pyramidal Cell,MOs,0.708333333333333,1.6888310734192,1.59865894005969,0.739134503807015,5.10101010101009
32,Wide Interneuron,MOs,0.766666666666667,10.7604464061678,24.611815309584,-0.139907130776184,0.544964028776978
33,Wide Interneuron,MOs,0.733333333333333,43.1580937996976,17.9402680087821,0.893820566560641,0
34,Wide Interneuron,MOs,0.833333333333333,14.3098246197231,18.2004916490345,0.261716894178338,0.176265270506108
35,Narrow Interneuron,ORB,0.158333333333333,1.04222962243734,1.00916150849907,0.702929297660453,2.67271240615476
36,Wide Interneuron,MOs,0.666666666666667,4.56549964778556,4.54525860493799,0.987234686373629,0
37,Wide Interneuron,ORB,0.75,15.4241309905833,7.73602744607887,-0.0467805068445952,2.83366733466934
38,Wide Interneuron,MOs,0.591666666666667,12.0953572308881,10.7485871185909,0.9899985899438,0
39,Pyramidal Cell,MOs,0.633333333333333,2.86767955992324,2.38893335069368,1.02704973055855,1.15428571428571
40,Wide Interneuron,ORB,0.816666666666667,4.22064357739541,3.05226865703695,-0.102016176904035,0.834710743801653
41,Pyramidal Cell,ORB,0.525,24.5488345479614,1.27800553598805,1.03178596697234,56.4411764705882
42,Wide Interneuron,MOs,0.8,15.6952231971813,3.88858469667973,1.11427858350034,0
43,Pyramidal Cell,MOs,0.591666666666667,1.8021806496808,0.928851757475308,0.989998739013432,0
44,Pyramidal Cell,ORB,0.633333333333333,10.0193843670934,0.129401218853754,1.02078209888461,61.4782608695652
45,Wide Interneuron,MOs,0.791666666666667,6.99936153194858,6.91115781910915,1.03303390622829,0.0681511470985155
46,Wide Interneuron,MOs,0.516666666666667,8.80144024304263,3.95688534335468,1.05174798919637,4.10442386831275
47,Wide Interneuron,MOs,0.858333333333333,28.9714994953815,33.860999678333,-0.220177285396749,0.887657623232709
48,Wide Interneuron,ORB,0.583333333333333,33.9645519407537,3.89777339378899,-0.0471869188589238,1.18624161073826
49,Wide Interneuron,MOs,0.766666666666667,12.957087614603,8.65516189779558,0.319456377189605,0
50,Wide Interneuron,ORB,0.683333333333333,5.01590054812112,5.04102658324847,-0.117143601994619,2.08075813761846
51,Wide Interneuron,MOs,0.691666666666667,9.11250447382955,3.35021542100285,0.905897118107844,4.04
52,Wide Interneuron,ORB,0.666666666666667,4.89149200145351,4.93461117044823,0.401070513023374,3.09578544061303
53,Pyramidal Cell,ORB,0.491666666666667,1.49705412102178,1.47220365286172,1.03982659774614,8.34710743801653
54,Wide Interneuron,ORB,0.516666666666667,32.8169926610366,34.4982504826564,1.06506858298535,4.28887559808613
55,Wide Interneuron,MOs,0.55,12.5588710649559,9.90904539287197,0.9258473654312,2.26634146341463
56,Wide Interneuron,ORB,0.558333333333333,132.07368970538,3.11294930137254,0.376329868019109,12.7637362637363
57,Wide Interneuron,MOs,0.641666666666667,22.2273933151193,33.0661192713499,-0.023282344183293,0.333333333333333
58,Wide Interneuron,ORB,0.525,3.32570195058317,3.42560224489103,1.0741113608326,2.65401459854015
59,Wide Interneuron,MOs,0.566666666666667,13.8791571769046,24.9826721996586,1.00786484974166,1.23547400611621
60,Wide Interneuron,ORB,0.7,14.5109927143946,24.778824266899,-0.558812894351706,0.0946579194001875
61,Wide Interneuron,ORB,0.616666666666667,14.2784379045459,6.62914252840261,0.839879155015466,6.22602739726027
62,Wide Interneuron,ORB,0.458333333333333,7.88853351114758,8.71207764950667,0.923544277438975,2.0472972972973
63,Wide Interneuron,MOs,0.858333333333333,16.7924175508994,4.16084488198474,0.920105959893613,0
64,Wide Interneuron,MOs,0.6,7.75168484346877,10.7351078514031,0.607738339297726,0.943598615916955
65,Wide Interneuron,MOs,0.958333333333333,7.34935113203205,4.90273367554212,-0.340855372722074,0
66,Wide Interneuron,MOs,0.933333333333333,30.1170176627761,34.9095032996609,-0.634843309011678,2.70662905500705
67,Wide Interneuron,ORB,0.608333333333333,62.3974954099,12.4097055144185,0.836958297185776,5.42281879194631
68,Pyramidal Cell,ORB,0.525,2.65466693354241,1.58060954534115,1.04125862622755,12.5668202764977
69,Wide Interneuron,ORB,0.591666666666667,7.74080730714598,11.6298342027212,0.800773793880978,0.289674952198853
70,Wide Interneuron,MOs,0.641666666666667,6.96928763365051,6.9689809361591,-0.363715252878904,1.35671641791045
71,Wide Interneuron,MOs,0.858333333333333,67.3684313756353,11.2356712912237,0.920105898582092,0
72,Pyramidal Cell,ORB,0.558333333333333,26.4568248823899,1.72655941674606,0.455221323318295,16.2212121212121
73,Wide Interneuron,MOs,0.675,10.325178159287,6.57015300484673,1.00062985773446,1.12222222222222
74,Wide Interneuron,MOs,0.566666666666667,54.9307575225964,18.1541369520966,-0.591049976782824,0.918181818181818
75,Wide Interneuron,ORB,0.65,198.320780726255,2.86861238114039,0.0944769012412506,1.73142857142857
76,Wide Interneuron,MOs,0.658333333333333,3.78163041909372,3.36611902122193,0.581349421101223,0.822475570032572
77,Wide Interneuron,MOs,0.625,38.15212591694,49.961361025099,1.0499576335588,2.37647058823529
78,Wide Interneuron,MOs,0.541666666666667,18.5616462395487,6.38021952805489,0.907210032938046,4.59090909090909
79,Wide Interneuron,MOs,0.7,11.7044186445823,6.28019284105436,0.629731843814484,0
80,Wide Interneuron,MOs,0.7,14.4618612284621,20.6448923395222,0.984787905431997,0.683642224012893
81,Wide Interneuron,ORB,0.883333333333333,6.96209214389773,3.81629784908658,0.709079018572575,3.42372881355932
82,Wide Interneuron,ORB,0.583333333333333,13.7665363758265,17.1217036617629,0.214182879968246,12.2649494020239
83,Pyramidal Cell,ORB,0.5,1.00047630007182,0.460567806533775,1.03529221665096,7.93501454898157
84,Narrow Interneuron,ORB,0.158333333333333,372.058238410147,0.880880637090594,0.700570056877486,2.82151714077316
85,Pyramidal Cell,MOs,0.7,1.58577653517569,1.46659758127455,0.782241022109361,3.5972602739726
86,Wide Interneuron,ORB,0.525,25.8371561427408,23.5064903386741,0.398791047080022,3.98207885304659
87,Wide Interneuron,MOs,0.616666666666667,58.0826620803201,5.90173666529735,0.852588504192905,0.731884057971014
88,Wide Interneuron,ORB,0.533333333333333,169.088002063792,2.43195680177268,1.02295800868235,0
89,Wide Interneuron,MOs,0.691666666666667,61.5752752582802,23.0163410159013,1.01122331575874,1.32894736842105
90,Wide Interneuron,ORB,0.883333333333333,458.34190382197,3.7944039747066,0.504664214693096,5.50524109014675
91,Pyramidal Cell,ORB,0.641666666666667,19.4648340345332,0.222377616500491,0.858597446744086,44.5855855855856
92,Wide Interneuron,ORB,0.741666666666667,15.1747029911373,17.8773532108555,0.130264563949628,0
93,Wide Interneuron,ORB,0.558333333333333,99.0899917198843,3.29610162108059,1.09192121983105,5.24675324675325
94,Wide Interneuron,MOs,0.616666666666667,6.36606143791382,5.92848991644974,1.07444008129307,0
95,Wide Interneuron,MOs,0.95,50.7610232261319,8.83644273271155,0.866765004459532,0
96,Wide Interneuron,MOs,0.441666666666667,482.834427415456,0.658626957279074,1.01681986640931,6.97986752203619
97,Wide Interneuron,ORB,0.891666666666667,47.5813862700732,11.7974803117829,0.194860713110276,2.8961887477314
98,Wide Interneuron,ORB,0.658333333333333,56.424851538176,27.8438787904417,-0.178314119092706,2.77558659727928
99,Pyramidal Cell,ORB,0.483333333333333,1.34078532686918,0.945168007664247,0.998584902352587,10.4570707070707
100,Wide Interneuron,MOs,0.625,14.5449939041253,11.5630453663696,-0.284563170377025,3.11323815704088
101,Wide Interneuron,ORB,0.641666666666667,227.911561558001,2.08879835192954,0.938371976125111,11.4485575695686
102,Pyramidal Cell,ORB,1.05833333333333,11.2256722373434,0.926864113704398,-0.39218691353354,6.65934065934066
103,Wide Interneuron,ORB,0.858333333333333,56.0230232917456,19.9936086683461,0.405319783760788,0.569014084507042
104,Wide Interneuron,MOs,0.825,5.25284824768825,5.24328696434964,0.518885322866198,0.984165651644335
105,Wide Interneuron,ORB,0.741666666666667,9.4509909349028,14.3545031880481,0.0709375928966359,0.0675585284280937
106,Narrow Interneuron,ORB,0.225,157.299904037833,4.21863847574854,1.02243559252695,4.07753378378378
107,Wide Interneuron,MOs,0.816666666666667,31.1221709624347,34.7845174738363,-0.0638848511513796,0.40562248995984
108,Narrow Interneuron,ORB,0.35,2.88447073728782,2.8265403233058,1.03004668302392,25.25
109,Wide Interneuron,ORB,0.766666666666667,24.7893980634598,3.25454414241333,-0.0229150257930372,1.5822454308094
110,Wide Interneuron,ORB,0.483333333333333,499.999999999999,0.661576131850844,0.973932099817869,3.24304013663535
111,Wide Interneuron,ORB,0.541666666666667,5.11342989941039,5.13567561446672,0.359595593121488,2.33403361344538
112,Pyramidal Cell,ORB,0.55,10.047325204572,0.487466220794976,1.08664143219194,3.3854748603352
113,Wide Interneuron,ORB,0.675,5.32424105914458,4.18463671234599,0.329615711131286,2.24444444444444
114,Pyramidal Cell,MOs,0.616666666666667,2.58873933210646,1.42317981700717,0.191289576515673,4.90972222222222
115,Wide Interneuron,ORB,0.466666666666667,8.41876188360328,14.7641307276373,0.992612534549438,2.58572536850272
116,Wide Interneuron,ORB,0.833333333333333,313.430420723771,2.63679619474072,0.256064212283886,6.68591549295775
117,Wide Interneuron,ORB,0.633333333333333,19.5524075601998,4.00660385989257,-0.249866587801705,0.132075471698113
118,Wide Interneuron,MOs,0.625,27.899322238469,35.0574841568396,1.03563926616359,1.70189307260245
119,Narrow Interneuron,ORB,0.158333333333333,188.212712747581,1.18889710176037,0.608716389858921,2.87180687826876
120,Wide Interneuron,MOs,0.941666666666667,8.64475348384686,9.19093506640032,-0.141790814970508,0.731884057971015
121,Pyramidal Cell,ORB,0.491666666666667,1.83010668990196,1.74777081320938,0.872103351463357,5.89166666666668
122,Wide Interneuron,MOs,0.825,8.09825039809445,6.65813542420474,0.739101704787992,1.24307692307692
123,Wide Interneuron,ORB,0.508333333333333,14.3847317287954,4.73312379397887,1.03328818853917,7.76923076923077
124,Wide Interneuron,MOs,0.616666666666667,17.3432233857246,19.1087975847319,-0.364181621672155,0.0320533164074897
125,Wide Interneuron,ORB,0.6,26.7476478509454,49.9999997049019,0.878617483398186,11.457268043719
126,Wide Interneuron,MOs,0.708333333333333,3.79591466870983,3.80468049242367,-0.370420777254565,2.09614570097416
127,Pyramidal Cell,ORB,0.7,1.44436034511998,1.18023104505615,0.885296108685411,3.97710622710622
128,Wide Interneuron,MOs,0.841666666666667,9.18587310239848,11.9963133151861,0.937458352997807,0.215122470713525
129,Wide Interneuron,ORB,0.65,144.417093958028,7.36968045210296,0.0433778223416304,1.0701006197108
130,Pyramidal Cell,ORB,0.508333333333333,20.2042973464713,1.48830627455592,1.05699257750293,23.9292307692308
131,Wide Interneuron,MOs,0.658333333333333,28.0632969746381,6.51592436580647,0.962399608329325,2.88571428571429
132,Pyramidal Cell,MOs,0.608333333333333,1.43164340380757,1.30005929580558,0.995405782745618,4.00888625592417
133,Wide Interneuron,ORB,0.466666666666667,123.609273595176,1.34098441305821,1.0080607296001,23.4718309859155
134,Wide Interneuron,MOs,0.808333333333333,8.11851164489474,10.4607748935826,-0.137094427104103,0.280555555555555
135,Wide Interneuron,ORB,0.558333333333333,53.081277984638,3.27813596315553,-0.0488966185344673,1.70173041894354
136,Wide Interneuron,MOs,0.85,5.984913914356,5.99332748095411,0.635037349950186,4.48888888888889
137,Wide Interneuron,MOs,0.7,221.651947365124,3.77621170942941,0.864672058619328,0.5625
138,Wide Interneuron,ORB,0.508333333333333,38.1754644469148,1.45339931986009,1.03328820252422,11.3948717948718
139,Wide Interneuron,ORB,0.45,212.058901819358,0.100073035391233,1.09056676034945,18.3636363636364
140,Pyramidal Cell,ORB,0.55,16.9951445532694,1.72977810455381,0.469101746918002,10.8347718865598
141,Narrow Interneuron,MOs,0.416666666666667,17.0505144015633,17.3895887629418,1.08901191229418,1.15296803652968
142,Wide Interneuron,ORB,0.666666666666667,6.70254714244263,6.81890605489464,0.00137138434144653,2.29545454545455
143,Narrow Interneuron,MOs,0.2,224.276244803786,1.65948271773777,0.8752570343485,2.38706525390088
144,Pyramidal Cell,MOs,0.541666666666667,1.00900834341182,0.65619389643007,1.04374414571457,3.08611111111111
145,Wide Interneuron,ORB,0.533333333333333,26.4101683921204,3.68789401897899,0.992947811345319,12.8775
146,Pyramidal Cell,MOs,0.825,2.84886410785628,2.84374611727946,0.317057061827569,0
147,Wide Interneuron,ORB,0.625,10.9429891580573,21.5990332469304,-0.171641605138053,0.0209124163158258
148,Wide Interneuron,MOs,0.708333333333333,21.6429931040444,4.96003974178837,0.966143846181814,0.0874837592031183
149,Wide Interneuron,ORB,0.65,9.35171451135619,3.35983434002706,0.923974786036117,16.2098765432099
150,Narrow Interneuron,MOs,0.425,29.0758364651499,3.11700490162969,0.848681833672036,13.664705882353
151,Wide Interneuron,ORB,0.816666666666667,14.390834075732,5.16817812459425,0.232901718939866,2.42723631508678
152,Wide Interneuron,ORB,0.833333333333333,7.55262946970152,6.33596235666645,0.832365040631866,5.02487562189054
153,Wide Interneuron,MOs,0.5,6.447627032173,4.17978231923925,0.915507283779525,0
154,Wide Interneuron,MOs,0.766666666666667,7.57892730752728,4.92819800928327,0.900253487907169,2.55696202531646
155,Narrow Interneuron,,0.416666666666667,6.06617460016487,0.100386038839064,0.818498264940272,0
156,Wide Interneuron,ORB,0.6,376.238060250431,0.982827943571569,0.973056889404318,9.35369458128079
157,Wide Interneuron,MOs,0.8,8.32633234589001,8.33444254701757,0.655343701405611,0.838174273858922
158,Wide Interneuron,MOs,0.675,4.17574993677887,4.16664450826028,-0.147584054799974,3.4086188992731
159,Pyramidal Cell,ORB,0.541666666666667,4.76189863740855,0.377788611065103,1.03764050417618,8.89308176100629
160,Wide Interneuron,ORB,0.658333333333333,26.6882297508245,49.999991394503,1.03297222464742,0.577544811407207
161,Narrow Interneuron,ORB,0.175,31.5085162032461,0.594972467180098,1.01408874042499,7.6029267035336
162,Pyramidal Cell,MOs,0.55,1.53927579285802,1.40523329728444,1.0174046214168,2.14893617021277
163,Wide Interneuron,MOs,0.708333333333333,4.89065109500919,4.52998040217483,0.574565074468889,2.82298136645963
164,Wide Interneuron,ORB,0.616666666666667,10.5013271849191,11.5873121865002,0.233310672397551,10.6559633027523
165,Wide Interneuron,ORB,0.808333333333333,44.2342659681357,9.74793193640289,1.04845463246981,1.19961685823755
166,Pyramidal Cell,MOs,0.583333333333333,3.49268268471138,2.42811830112105,1.00047191779649,2.09326424870466
167,Wide Interneuron,MOs,0.75,5.64562042823138,4.88850967153013,0.611480705178214,0.675585284280936
168,Pyramidal Cell,ORB,0.558333333333333,1.98694247292155,1.92528156661693,0.978938464265413,3.27489239598278
169,Narrow Interneuron,ORB,0.266666666666667,96.1448230051258,3.1479867927761,1.01095012909948,4.92682926829268
170,Narrow Interneuron,MOs,0.416666666666667,2.37465697588033,2.02225783083328,0.871681267062976,NaN
171,Wide Interneuron,MOs,0.683333333333333,28.3761290741855,32.3184571747128,0.704845431841051,1.56762749445676
172,Wide Interneuron,,0.541666666666667,17.640354473991,6.52669154676587,0.668559064785311,0
173,Wide Interneuron,ORB,0.816666666666667,24.3111798082086,4.13985727713694,-0.127835623078987,0.137570942111237
174,Pyramidal Cell,ORB,0.525,1.47562769722038,1.43444942230186,1.00458491505669,15.0712694877506
175,Wide Interneuron,MOs,0.883333333333333,16.0516114334953,4.55786362522014,0.418906936305328,0
176,Narrow Interneuron,ORB,0.166666666666667,100.145155746285,2.64136046199012,1.01324886111296,3.00562192834971
177,Wide Interneuron,MOs,0.666666666666667,4.35170269521615,4.3391497250099,-0.630688425351399,0.885299273729026
178,Wide Interneuron,MOs,0.658333333333333,41.5130734523675,10.9208241706247,-0.347269027703119,0.980582524271844
179,Wide Interneuron,MOs,0.508333333333333,21.1760957580998,12.4496458112167,0.468744600942531,1.47148730782982
180,Wide Interneuron,MOs,0.616666666666667,7.13926887322908,10.4721541301116,-0.380514239099273,0.0247246022031824
181,Wide Interneuron,MOs,0.716666666666667,3.68504926337401,3.1022475052613,0.2045824551472,0.780525502318393
182,Wide Interneuron,ORB,0.591666666666667,22.5984592441028,9.12197872006813,0.893560142350713,0.551912568306012
183,Narrow Interneuron,MOs,0.25,14.0327149831503,18.7790884303307,1.01268947947744,10.3169996230682
184,Wide Interneuron,MOs,0.675,14.7105600031775,14.6426069809702,1.06022534328815,1.06707616707617
185,Wide Interneuron,ORB,0.625,32.8562070720859,2.00474544371439,0.789353321156627,6.02647771769532
186,Pyramidal Cell,MOs,0.875,3.84650805012981,2.99684629539401,-0.228395139923063,0.905829596412555
